cps19_votechoice,sex,province,education,age,cell,vote_liberal,vote_conservative
Bloc Québécois,Male,Quebec,university,45 to 54,Male 45 to 54 university,0,0
Conservative Party,Female,Alberta,university,25 to 34,Female 25 to 34 university,0,1
Liberal Party,Female,Quebec,"technical,community college",45 to 54,"Female 45 to 54 technical,community college",1,0
Liberal Party,Female,Ontario,high school,45 to 54,Female 45 to 54 high school,1,0
Liberal Party,Female,Quebec,university,25 to 34,Female 25 to 34 university,1,0
Green Party,Female,Manitoba,"technical,community college",35 to 44,"Female 35 to 44 technical,community college",0,0
Liberal Party,Female,Ontario,"technical,community college",35 to 44,"Female 35 to 44 technical,community college",1,0
Liberal Party,Male,New Brunswick,university,25 to 34,Male 25 to 34 university,1,0
Conservative Party,Male,Alberta,university,55 to 64,Male 55 to 64 university,0,1
Conservative Party,Female,Ontario,university,25 to 34,Female 25 to 34 university,0,1
Green Party,Male,Ontario,"technical,community college",45 to 54,"Male 45 to 54 technical,community college",0,0
Conservative Party,Female,Ontario,university,35 to 44,Female 35 to 44 university,0,1
Liberal Party,Male,Alberta,university,55 to 64,Male 55 to 64 university,1,0
Conservative Party,Male,Manitoba,"technical,community college",45 to 54,"Male 45 to 54 technical,community college",0,1
Liberal Party,Male,Manitoba,university,35 to 44,Male 35 to 44 university,1,0
Conservative Party,Female,Manitoba,high school,55 to 64,Female 55 to 64 high school,0,1
Liberal Party,Female,British Columbia,university,45 to 54,Female 45 to 54 university,1,0
Conservative Party,Male,Quebec,"technical,community college",55 to 64,"Male 55 to 64 technical,community college",0,1
Conservative Party,Male,Ontario,university,45 to 54,Male 45 to 54 university,0,1
Conservative Party,Female,Quebec,"technical,community college",55 to 64,"Female 55 to 64 technical,community college",0,1
Liberal Party,Female,Quebec,university,55 to 64,Female 55 to 64 university,1,0
ndp,Male,Ontario,university,55 to 64,Male 55 to 64 university,0,0
Conservative Party,Male,Ontario,university,55 to 64,Male 55 to 64 university,0,1
Conservative Party,Male,Ontario,university,35 to 44,Male 35 to 44 university,0,1
Green Party,Male,Nova Scotia,"technical,community college",45 to 54,"Male 45 to 54 technical,community college",0,0
Liberal Party,Female,Ontario,university,45 to 54,Female 45 to 54 university,1,0
Conservative Party,Female,Ontario,university,45 to 54,Female 45 to 54 university,0,1
Liberal Party,Male,Ontario,university,25 to 34,Male 25 to 34 university,1,0
Liberal Party,Male,Ontario,university,35 to 44,Male 35 to 44 university,1,0
Conservative Party,Female,Ontario,high school,55 to 64,Female 55 to 64 high school,0,1
Conservative Party,Female,Ontario,university,55 to 64,Female 55 to 64 university,0,1
Green Party,Female,Ontario,university,45 to 54,Female 45 to 54 university,0,0
Liberal Party,Male,Quebec,university,55 to 64,Male 55 to 64 university,1,0
Green Party,Female,Ontario,university,25 to 34,Female 25 to 34 university,0,0
Conservative Party,Male,Quebec,"technical,community college",55 to 64,"Male 55 to 64 technical,community college",0,1
Conservative Party,Male,Ontario,university,55 to 64,Male 55 to 64 university,0,1
Liberal Party,Female,Ontario,"technical,community college",55 to 64,"Female 55 to 64 technical,community college",1,0
ndp,Male,Ontario,university,35 to 44,Male 35 to 44 university,0,0
ndp,Male,Nova Scotia,"technical,community college",55 to 64,"Male 55 to 64 technical,community college",0,0
Conservative Party,Male,Quebec,university,55 to 64,Male 55 to 64 university,0,1
ndp,Male,Ontario,"technical,community college",35 to 44,"Male 35 to 44 technical,community college",0,0
ndp,Male,Ontario,high school,55 to 64,Male 55 to 64 high school,0,0
Green Party,Female,Ontario,high school,35 to 44,Female 35 to 44 high school,0,0
Liberal Party,Female,Quebec,no degree,35 to 44,Female 35 to 44 no degree,1,0
Liberal Party,Male,Ontario,high school,35 to 44,Male 35 to 44 high school,1,0
Conservative Party,Female,Ontario,university,45 to 54,Female 45 to 54 university,0,1
Green Party,Male,Ontario,"technical,community college",55 to 64,"Male 55 to 64 technical,community college",0,0
Liberal Party,Male,Ontario,university,35 to 44,Male 35 to 44 university,1,0
Conservative Party,Male,Alberta,university,25 to 34,Male 25 to 34 university,0,1
Bloc Québécois,Male,Quebec,university,55 to 64,Male 55 to 64 university,0,0
Liberal Party,Male,Ontario,university,55 to 64,Male 55 to 64 university,1,0
Liberal Party,Male,Ontario,university,55 to 64,Male 55 to 64 university,1,0
Conservative Party,Male,Newfoundland and Labrador,university,55 to 64,Male 55 to 64 university,0,1
Liberal Party,Male,Ontario,university,25 to 34,Male 25 to 34 university,1,0
Conservative Party,Female,Ontario,university,35 to 44,Female 35 to 44 university,0,1
Green Party,Male,Quebec,university,25 to 34,Male 25 to 34 university,0,0
Conservative Party,Male,Quebec,high school,55 to 64,Male 55 to 64 high school,0,1
Conservative Party,Male,Ontario,university,35 to 44,Male 35 to 44 university,0,1
Liberal Party,Female,British Columbia,university,45 to 54,Female 45 to 54 university,1,0
Green Party,Female,British Columbia,"technical,community college",25 to 34,"Female 25 to 34 technical,community college",0,0
Conservative Party,Female,Quebec,university,45 to 54,Female 45 to 54 university,0,1
Conservative Party,Male,Ontario,high school,35 to 44,Male 35 to 44 high school,0,1
Conservative Party,Female,Quebec,university,55 to 64,Female 55 to 64 university,0,1
ndp,Male,Ontario,"technical,community college",35 to 44,"Male 35 to 44 technical,community college",0,0
Conservative Party,Female,Quebec,university,55 to 64,Female 55 to 64 university,0,1
Liberal Party,Female,Ontario,"technical,community college",25 to 34,"Female 25 to 34 technical,community college",1,0
ndp,Male,Quebec,high school,35 to 44,Male 35 to 44 high school,0,0
Conservative Party,Male,Prince Edward Island,high school,25 to 34,Male 25 to 34 high school,0,1
Liberal Party,Male,Ontario,university,45 to 54,Male 45 to 54 university,1,0
Conservative Party,Male,Ontario,university,45 to 54,Male 45 to 54 university,0,1
Green Party,Female,Quebec,university,45 to 54,Female 45 to 54 university,0,0
Liberal Party,Male,Alberta,high school,35 to 44,Male 35 to 44 high school,1,0
Liberal Party,Female,Ontario,university,25 to 34,Female 25 to 34 university,1,0
Liberal Party,Female,Ontario,university,45 to 54,Female 45 to 54 university,1,0
Bloc Québécois,Female,Quebec,university,45 to 54,Female 45 to 54 university,0,0
Green Party,Male,Quebec,university,45 to 54,Male 45 to 54 university,0,0
Liberal Party,Male,Prince Edward Island,university,55 to 64,Male 55 to 64 university,1,0
People's Party,Male,Ontario,university,35 to 44,Male 35 to 44 university,0,0
Conservative Party,Female,Ontario,"technical,community college",55 to 64,"Female 55 to 64 technical,community college",0,1
Liberal Party,Male,Newfoundland and Labrador,"technical,community college",25 to 34,"Male 25 to 34 technical,community college",1,0
ndp,Male,Ontario,university,55 to 64,Male 55 to 64 university,0,0
Liberal Party,Female,Ontario,university,55 to 64,Female 55 to 64 university,1,0
Green Party,Male,Ontario,"technical,community college",55 to 64,"Male 55 to 64 technical,community college",0,0
Conservative Party,Male,Ontario,high school,45 to 54,Male 45 to 54 high school,0,1
Bloc Québécois,Male,Quebec,"technical,community college",25 to 34,"Male 25 to 34 technical,community college",0,0
Liberal Party,Male,Newfoundland and Labrador,university,55 to 64,Male 55 to 64 university,1,0
Liberal Party,Female,Quebec,university,55 to 64,Female 55 to 64 university,1,0
Bloc Québécois,Male,Quebec,university,55 to 64,Male 55 to 64 university,0,0
Liberal Party,Female,Ontario,university,45 to 54,Female 45 to 54 university,1,0
Conservative Party,Female,Quebec,"technical,community college",45 to 54,"Female 45 to 54 technical,community college",0,1
Conservative Party,Female,New Brunswick,"technical,community college",55 to 64,"Female 55 to 64 technical,community college",0,1
Liberal Party,Female,Quebec,university,35 to 44,Female 35 to 44 university,1,0
Conservative Party,Male,Alberta,"technical,community college",35 to 44,"Male 35 to 44 technical,community college",0,1
Liberal Party,Female,Ontario,"technical,community college",55 to 64,"Female 55 to 64 technical,community college",1,0
Conservative Party,Female,Ontario,university,55 to 64,Female 55 to 64 university,0,1
Liberal Party,Female,Ontario,university,25 to 34,Female 25 to 34 university,1,0
Liberal Party,Male,Ontario,"technical,community college",55 to 64,"Male 55 to 64 technical,community college",1,0
Green Party,Female,Quebec,university,55 to 64,Female 55 to 64 university,0,0
Liberal Party,Female,Quebec,university,55 to 64,Female 55 to 64 university,1,0
Conservative Party,Female,Quebec,high school,55 to 64,Female 55 to 64 high school,0,1
Liberal Party,Female,Quebec,"technical,community college",55 to 64,"Female 55 to 64 technical,community college",1,0
Liberal Party,Female,Ontario,university,55 to 64,Female 55 to 64 university,1,0
Liberal Party,Female,Ontario,university,55 to 64,Female 55 to 64 university,1,0
People's Party,Male,Quebec,"technical,community college",55 to 64,"Male 55 to 64 technical,community college",0,0
Conservative Party,Male,Ontario,"technical,community college",35 to 44,"Male 35 to 44 technical,community college",0,1
Conservative Party,Female,Quebec,high school,35 to 44,Female 35 to 44 high school,0,1
Conservative Party,Female,Quebec,"technical,community college",45 to 54,"Female 45 to 54 technical,community college",0,1
Liberal Party,Female,New Brunswick,"technical,community college",45 to 54,"Female 45 to 54 technical,community college",1,0
Green Party,Male,Quebec,university,45 to 54,Male 45 to 54 university,0,0
Liberal Party,Male,Ontario,university,45 to 54,Male 45 to 54 university,1,0
Green Party,Male,Ontario,university,45 to 54,Male 45 to 54 university,0,0
Conservative Party,Female,Ontario,university,45 to 54,Female 45 to 54 university,0,1
Conservative Party,Female,Quebec,high school,45 to 54,Female 45 to 54 high school,0,1
Liberal Party,Female,Ontario,"technical,community college",55 to 64,"Female 55 to 64 technical,community college",1,0
Conservative Party,Male,Ontario,university,55 to 64,Male 55 to 64 university,0,1
Liberal Party,Male,Ontario,"technical,community college",55 to 64,"Male 55 to 64 technical,community college",1,0
Liberal Party,Female,Ontario,"technical,community college",35 to 44,"Female 35 to 44 technical,community college",1,0
Conservative Party,Male,British Columbia,"technical,community college",45 to 54,"Male 45 to 54 technical,community college",0,1
Conservative Party,Male,Quebec,"technical,community college",55 to 64,"Male 55 to 64 technical,community college",0,1
Liberal Party,Male,Quebec,university,45 to 54,Male 45 to 54 university,1,0
ndp,Male,Ontario,"technical,community college",45 to 54,"Male 45 to 54 technical,community college",0,0
ndp,Female,Ontario,university,45 to 54,Female 45 to 54 university,0,0
Liberal Party,Female,Newfoundland and Labrador,university,45 to 54,Female 45 to 54 university,1,0
Liberal Party,Female,Quebec,"technical,community college",55 to 64,"Female 55 to 64 technical,community college",1,0
Green Party,Male,Ontario,university,55 to 64,Male 55 to 64 university,0,0
Liberal Party,Male,Nova Scotia,university,25 to 34,Male 25 to 34 university,1,0
Conservative Party,Male,Ontario,"technical,community college",55 to 64,"Male 55 to 64 technical,community college",0,1
Conservative Party,Male,Quebec,university,35 to 44,Male 35 to 44 university,0,1
Liberal Party,Female,Ontario,university,55 to 64,Female 55 to 64 university,1,0
Green Party,Female,Ontario,university,35 to 44,Female 35 to 44 university,0,0
Green Party,Female,Quebec,high school,45 to 54,Female 45 to 54 high school,0,0
Conservative Party,Male,Quebec,university,45 to 54,Male 45 to 54 university,0,1
Green Party,Male,Ontario,"technical,community college",55 to 64,"Male 55 to 64 technical,community college",0,0
Conservative Party,Male,Manitoba,university,25 to 34,Male 25 to 34 university,0,1
People's Party,Female,Quebec,university,35 to 44,Female 35 to 44 university,0,0
Conservative Party,Male,Ontario,university,45 to 54,Male 45 to 54 university,0,1
Liberal Party,Female,Ontario,university,45 to 54,Female 45 to 54 university,1,0
ndp,Male,Ontario,no degree,25 to 34,Male 25 to 34 no degree,0,0
Liberal Party,Female,Ontario,university,55 to 64,Female 55 to 64 university,1,0
Green Party,Male,Ontario,university,25 to 34,Male 25 to 34 university,0,0
Bloc Québécois,Male,Quebec,university,55 to 64,Male 55 to 64 university,0,0
Conservative Party,Female,Ontario,university,55 to 64,Female 55 to 64 university,0,1
ndp,Female,British Columbia,high school,25 to 34,Female 25 to 34 high school,0,0
Green Party,Male,Quebec,"technical,community college",25 to 34,"Male 25 to 34 technical,community college",0,0
Liberal Party,Male,Quebec,"technical,community college",25 to 34,"Male 25 to 34 technical,community college",1,0
Liberal Party,Male,Ontario,university,45 to 54,Male 45 to 54 university,1,0
ndp,Male,Ontario,"technical,community college",55 to 64,"Male 55 to 64 technical,community college",0,0
Liberal Party,Male,Alberta,"technical,community college",25 to 34,"Male 25 to 34 technical,community college",1,0
Conservative Party,Male,Quebec,high school,55 to 64,Male 55 to 64 high school,0,1
Liberal Party,Female,Ontario,"technical,community college",45 to 54,"Female 45 to 54 technical,community college",1,0
Liberal Party,Female,Ontario,university,25 to 34,Female 25 to 34 university,1,0
ndp,Female,Ontario,"technical,community college",25 to 34,"Female 25 to 34 technical,community college",0,0
Green Party,Male,Ontario,high school,35 to 44,Male 35 to 44 high school,0,0
Conservative Party,Male,Ontario,high school,55 to 64,Male 55 to 64 high school,0,1
Conservative Party,Female,Quebec,university,45 to 54,Female 45 to 54 university,0,1
Liberal Party,Female,Quebec,university,55 to 64,Female 55 to 64 university,1,0
Conservative Party,Male,Ontario,high school,55 to 64,Male 55 to 64 high school,0,1
ndp,Female,Ontario,university,45 to 54,Female 45 to 54 university,0,0
ndp,Male,Ontario,university,25 to 34,Male 25 to 34 university,0,0
Conservative Party,Male,Ontario,high school,35 to 44,Male 35 to 44 high school,0,1
Liberal Party,Male,Quebec,high school,35 to 44,Male 35 to 44 high school,1,0
Conservative Party,Female,Newfoundland and Labrador,"technical,community college",45 to 54,"Female 45 to 54 technical,community college",0,1
Liberal Party,Female,Quebec,"technical,community college",35 to 44,"Female 35 to 44 technical,community college",1,0
Liberal Party,Female,Ontario,"technical,community college",35 to 44,"Female 35 to 44 technical,community college",1,0
Conservative Party,Male,Quebec,university,45 to 54,Male 45 to 54 university,0,1
Liberal Party,Female,Ontario,university,55 to 64,Female 55 to 64 university,1,0
Conservative Party,Female,Ontario,university,55 to 64,Female 55 to 64 university,0,1
Bloc Québécois,Male,Quebec,university,55 to 64,Male 55 to 64 university,0,0
Liberal Party,Female,Quebec,high school,45 to 54,Female 45 to 54 high school,1,0
ndp,Male,Ontario,university,35 to 44,Male 35 to 44 university,0,0
Liberal Party,Female,Ontario,university,45 to 54,Female 45 to 54 university,1,0
ndp,Male,Quebec,high school,35 to 44,Male 35 to 44 high school,0,0
Green Party,Female,Nova Scotia,"technical,community college",25 to 34,"Female 25 to 34 technical,community college",0,0
Liberal Party,Female,Ontario,"technical,community college",55 to 64,"Female 55 to 64 technical,community college",1,0
Liberal Party,Male,Quebec,university,55 to 64,Male 55 to 64 university,1,0
ndp,Female,Ontario,university,25 to 34,Female 25 to 34 university,0,0
Liberal Party,Male,British Columbia,university,45 to 54,Male 45 to 54 university,1,0
Liberal Party,Female,Ontario,university,35 to 44,Female 35 to 44 university,1,0
Conservative Party,Male,Quebec,university,45 to 54,Male 45 to 54 university,0,1
Liberal Party,Male,Ontario,university,35 to 44,Male 35 to 44 university,1,0
Liberal Party,Male,Quebec,university,45 to 54,Male 45 to 54 university,1,0
ndp,Male,Quebec,high school,35 to 44,Male 35 to 44 high school,0,0
Conservative Party,Male,Ontario,high school,55 to 64,Male 55 to 64 high school,0,1
Liberal Party,Male,Ontario,university,25 to 34,Male 25 to 34 university,1,0
Liberal Party,Female,Quebec,university,55 to 64,Female 55 to 64 university,1,0
Liberal Party,Female,Ontario,university,55 to 64,Female 55 to 64 university,1,0
ndp,Male,Ontario,university,35 to 44,Male 35 to 44 university,0,0
Liberal Party,Female,Ontario,university,35 to 44,Female 35 to 44 university,1,0
Liberal Party,Male,Ontario,university,55 to 64,Male 55 to 64 university,1,0
Liberal Party,Female,Ontario,high school,55 to 64,Female 55 to 64 high school,1,0
Liberal Party,Male,Northwest Territories,university,45 to 54,Male 45 to 54 university,1,0
Bloc Québécois,Male,Quebec,university,45 to 54,Male 45 to 54 university,0,0
Green Party,Female,Ontario,"technical,community college",55 to 64,"Female 55 to 64 technical,community college",0,0
Liberal Party,Female,Ontario,university,55 to 64,Female 55 to 64 university,1,0
Conservative Party,Male,Ontario,university,35 to 44,Male 35 to 44 university,0,1
Conservative Party,Female,Quebec,"technical,community college",55 to 64,"Female 55 to 64 technical,community college",0,1
Bloc Québécois,Female,Quebec,"technical,community college",55 to 64,"Female 55 to 64 technical,community college",0,0
ndp,Female,Quebec,"technical,community college",45 to 54,"Female 45 to 54 technical,community college",0,0
Liberal Party,Female,Quebec,high school,55 to 64,Female 55 to 64 high school,1,0
Liberal Party,Male,Ontario,"technical,community college",55 to 64,"Male 55 to 64 technical,community college",1,0
Bloc Québécois,Male,Quebec,high school,25 to 34,Male 25 to 34 high school,0,0
Conservative Party,Female,Ontario,"technical,community college",25 to 34,"Female 25 to 34 technical,community college",0,1
Liberal Party,Male,Quebec,"technical,community college",55 to 64,"Male 55 to 64 technical,community college",1,0
Bloc Québécois,Male,Quebec,university,55 to 64,Male 55 to 64 university,0,0
People's Party,Female,Ontario,high school,45 to 54,Female 45 to 54 high school,0,0
Liberal Party,Female,Quebec,university,25 to 34,Female 25 to 34 university,1,0
Conservative Party,Male,Quebec,university,25 to 34,Male 25 to 34 university,0,1
Liberal Party,Female,Nova Scotia,high school,45 to 54,Female 45 to 54 high school,1,0
Conservative Party,Male,Ontario,university,55 to 64,Male 55 to 64 university,0,1
Liberal Party,Male,Quebec,high school,55 to 64,Male 55 to 64 high school,1,0
Conservative Party,Male,Ontario,university,35 to 44,Male 35 to 44 university,0,1
Bloc Québécois,Female,Quebec,university,35 to 44,Female 35 to 44 university,0,0
Conservative Party,Female,Ontario,high school,55 to 64,Female 55 to 64 high school,0,1
ndp,Male,New Brunswick,"technical,community college",35 to 44,"Male 35 to 44 technical,community college",0,0
Green Party,Female,Quebec,university,45 to 54,Female 45 to 54 university,0,0
Conservative Party,Male,Ontario,university,45 to 54,Male 45 to 54 university,0,1
Conservative Party,Male,Ontario,"technical,community college",45 to 54,"Male 45 to 54 technical,community college",0,1
Liberal Party,Female,Ontario,university,45 to 54,Female 45 to 54 university,1,0
Conservative Party,Male,Ontario,university,55 to 64,Male 55 to 64 university,0,1
Liberal Party,Female,British Columbia,university,55 to 64,Female 55 to 64 university,1,0
Conservative Party,Male,Ontario,university,45 to 54,Male 45 to 54 university,0,1
Liberal Party,Female,Northwest Territories,high school,45 to 54,Female 45 to 54 high school,1,0
Bloc Québécois,Female,Quebec,high school,55 to 64,Female 55 to 64 high school,0,0
Liberal Party,Female,Ontario,university,45 to 54,Female 45 to 54 university,1,0
Conservative Party,Female,Quebec,high school,45 to 54,Female 45 to 54 high school,0,1
Liberal Party,Female,Quebec,university,35 to 44,Female 35 to 44 university,1,0
Conservative Party,Male,Ontario,"technical,community college",55 to 64,"Male 55 to 64 technical,community college",0,1
Conservative Party,Male,Ontario,university,35 to 44,Male 35 to 44 university,0,1
Bloc Québécois,Male,Quebec,"technical,community college",25 to 34,"Male 25 to 34 technical,community college",0,0
ndp,Male,Quebec,university,35 to 44,Male 35 to 44 university,0,0
ndp,Female,Ontario,university,45 to 54,Female 45 to 54 university,0,0
Conservative Party,Male,Quebec,high school,45 to 54,Male 45 to 54 high school,0,1
Liberal Party,Male,New Brunswick,no degree,55 to 64,Male 55 to 64 no degree,1,0
Green Party,Female,Ontario,university,45 to 54,Female 45 to 54 university,0,0
Bloc Québécois,Male,Quebec,"technical,community college",55 to 64,"Male 55 to 64 technical,community college",0,0
Liberal Party,Female,Quebec,high school,35 to 44,Female 35 to 44 high school,1,0
Bloc Québécois,Male,Quebec,university,55 to 64,Male 55 to 64 university,0,0
Liberal Party,Female,Manitoba,university,55 to 64,Female 55 to 64 university,1,0
Green Party,Male,Quebec,university,45 to 54,Male 45 to 54 university,0,0
Liberal Party,Male,Quebec,"technical,community college",35 to 44,"Male 35 to 44 technical,community college",1,0
ndp,Male,Ontario,university,45 to 54,Male 45 to 54 university,0,0
Conservative Party,Female,Ontario,university,55 to 64,Female 55 to 64 university,0,1
Liberal Party,Male,Ontario,university,35 to 44,Male 35 to 44 university,1,0
ndp,Female,Ontario,"technical,community college",25 to 34,"Female 25 to 34 technical,community college",0,0
Liberal Party,Female,Ontario,"technical,community college",35 to 44,"Female 35 to 44 technical,community college",1,0
Liberal Party,Male,Quebec,"technical,community college",55 to 64,"Male 55 to 64 technical,community college",1,0
People's Party,Male,Quebec,university,45 to 54,Male 45 to 54 university,0,0
Green Party,Female,Ontario,"technical,community college",45 to 54,"Female 45 to 54 technical,community college",0,0
Liberal Party,Female,Quebec,"technical,community college",25 to 34,"Female 25 to 34 technical,community college",1,0
Conservative Party,Female,Ontario,university,45 to 54,Female 45 to 54 university,0,1
Conservative Party,Male,Quebec,university,45 to 54,Male 45 to 54 university,0,1
Liberal Party,Male,Ontario,university,45 to 54,Male 45 to 54 university,1,0
Conservative Party,Male,Quebec,university,45 to 54,Male 45 to 54 university,0,1
Liberal Party,Female,Ontario,"technical,community college",25 to 34,"Female 25 to 34 technical,community college",1,0
Liberal Party,Female,Ontario,"technical,community college",55 to 64,"Female 55 to 64 technical,community college",1,0
Conservative Party,Male,Quebec,high school,45 to 54,Male 45 to 54 high school,0,1
Liberal Party,Female,Quebec,high school,45 to 54,Female 45 to 54 high school,1,0
ndp,Female,Ontario,"technical,community college",35 to 44,"Female 35 to 44 technical,community college",0,0
Liberal Party,Female,Ontario,university,45 to 54,Female 45 to 54 university,1,0
Liberal Party,Female,Quebec,university,55 to 64,Female 55 to 64 university,1,0
Liberal Party,Male,Quebec,high school,55 to 64,Male 55 to 64 high school,1,0
Liberal Party,Female,Quebec,university,45 to 54,Female 45 to 54 university,1,0
Liberal Party,Male,Ontario,"technical,community college",45 to 54,"Male 45 to 54 technical,community college",1,0
Conservative Party,Male,Ontario,"technical,community college",35 to 44,"Male 35 to 44 technical,community college",0,1
Conservative Party,Female,Quebec,"technical,community college",45 to 54,"Female 45 to 54 technical,community college",0,1
Liberal Party,Male,Quebec,university,25 to 34,Male 25 to 34 university,1,0
Bloc Québécois,Female,Quebec,university,35 to 44,Female 35 to 44 university,0,0
Liberal Party,Female,Nova Scotia,university,45 to 54,Female 45 to 54 university,1,0
Green Party,Male,Ontario,university,45 to 54,Male 45 to 54 university,0,0
Conservative Party,Male,Quebec,university,45 to 54,Male 45 to 54 university,0,1
Conservative Party,Female,Ontario,university,35 to 44,Female 35 to 44 university,0,1
Liberal Party,Female,Quebec,university,55 to 64,Female 55 to 64 university,1,0
Liberal Party,Female,Ontario,university,55 to 64,Female 55 to 64 university,1,0
Conservative Party,Female,Ontario,high school,55 to 64,Female 55 to 64 high school,0,1
Conservative Party,Male,Nova Scotia,university,55 to 64,Male 55 to 64 university,0,1
Conservative Party,Female,Ontario,university,45 to 54,Female 45 to 54 university,0,1
Conservative Party,Male,Ontario,university,35 to 44,Male 35 to 44 university,0,1
Conservative Party,Female,Ontario,"technical,community college",55 to 64,"Female 55 to 64 technical,community college",0,1
Liberal Party,Female,Ontario,high school,35 to 44,Female 35 to 44 high school,1,0
Green Party,Female,Quebec,university,25 to 34,Female 25 to 34 university,0,0
Green Party,Female,Ontario,"technical,community college",55 to 64,"Female 55 to 64 technical,community college",0,0
ndp,Female,Ontario,high school,55 to 64,Female 55 to 64 high school,0,0
Liberal Party,Female,Ontario,university,35 to 44,Female 35 to 44 university,1,0
Green Party,Male,Quebec,"technical,community college",35 to 44,"Male 35 to 44 technical,community college",0,0
Conservative Party,Female,Quebec,high school,35 to 44,Female 35 to 44 high school,0,1
Green Party,Female,Ontario,high school,35 to 44,Female 35 to 44 high school,0,0
Liberal Party,Female,Quebec,"technical,community college",55 to 64,"Female 55 to 64 technical,community college",1,0
Liberal Party,Female,New Brunswick,"technical,community college",35 to 44,"Female 35 to 44 technical,community college",1,0
Liberal Party,Female,Ontario,high school,45 to 54,Female 45 to 54 high school,1,0
Liberal Party,Male,Quebec,university,25 to 34,Male 25 to 34 university,1,0
ndp,Female,Ontario,high school,25 to 34,Female 25 to 34 high school,0,0
Conservative Party,Male,New Brunswick,university,55 to 64,Male 55 to 64 university,0,1
Bloc Québécois,Female,Quebec,"technical,community college",45 to 54,"Female 45 to 54 technical,community college",0,0
Conservative Party,Female,Ontario,university,25 to 34,Female 25 to 34 university,0,1
Liberal Party,Female,Quebec,"technical,community college",35 to 44,"Female 35 to 44 technical,community college",1,0
ndp,Female,Newfoundland and Labrador,high school,55 to 64,Female 55 to 64 high school,0,0
Conservative Party,Female,Ontario,university,35 to 44,Female 35 to 44 university,0,1
